Date,isMainSleep,logId,efficiency,startTime,duration,minutesToFallAsleep,minutesAsleep,minutesAwake,minutesAfterWakeup,awakeningsCount,awakeCount,awakeDuration,restlessCount,restlessDuration,timeInBed,minuteDataDateTime,minuteDataValue
2/5/2014,TRUE,1,87,5:20 AM,4971,105,188,425,11,0,81,20,118,24,42,8:44 PM,958
2/6/2014,TRUE,2,93,6:37 AM,5531,48,259,119,32,0,14,26,8,33,198,3:23 PM,263
2/7/2014,FALSE,3,51,2:31 AM,1149,110,745,765,106,0,46,25,98,75,890,5:27 PM,670
2/8/2014,FALSE,4,100,2:02 AM,9034,90,1143,393,40,0,26,41,82,51,723,11:32 AM,373
2/9/2014,TRUE,5,57,1:33 PM,7833,54,524,321,100,0,60,12,113,39,733,5:05 AM,435
2/10/2014,FALSE,6,4,4:44 AM,3422,7,823,755,97,0,50,29,35,20,567,4:14 AM,239
2/11/2014,FALSE,7,79,5:53 AM,3808,81,768,138,33,0,84,103,60,89,317,6:37 AM,618
2/12/2014,FALSE,8,35,3:30 AM,9902,25,831,739,18,0,28,31,27,67,600,1:41 AM,962
2/13/2014,FALSE,9,92,2:34 AM,777,111,357,606,79,0,81,4,21,9,514,9:31 PM,229
2/14/2014,TRUE,10,21,3:40 PM,2554,28,493,563,74,0,9,45,26,49,1006,1:56 PM,614
2/15/2014,TRUE,11,35,8:12 AM,9204,63,281,856,40,0,71,88,15,93,972,6:35 AM,68
2/16/2014,FALSE,12,38,12:34 PM,8384,87,177,432,51,0,76,45,86,49,1010,12:59 AM,361
2/17/2014,FALSE,13,43,5:26 PM,9634,101,1102,600,72,0,42,65,29,20,40,9:49 AM,323
2/18/2014,FALSE,14,24,4:04 PM,6520,66,618,896,56,0,43,16,104,43,142,6:12 AM,193
2/19/2014,FALSE,15,86,10:34 PM,8080,95,285,156,24,0,27,41,115,117,521,8:46 PM,339
2/20/2014,FALSE,16,2,11:26 AM,2602,83,1113,256,110,0,0,80,17,81,94,6:15 PM,804
2/21/2014,FALSE,17,43,8:44 AM,5365,100,82,536,12,0,69,103,30,116,147,7:05 AM,644
2/22/2014,FALSE,18,21,6:46 AM,1976,69,503,164,115,0,43,85,23,38,641,7:33 PM,113
2/23/2014,FALSE,19,26,8:34 AM,1214,2,858,544,96,0,116,79,68,110,1163,6:09 AM,279
2/24/2014,FALSE,20,57,5:03 PM,1780,85,310,43,97,0,28,100,29,54,305,9:56 PM,680
2/25/2014,FALSE,21,53,11:42 PM,2592,70,889,714,17,0,106,58,120,86,82,6:23 PM,586
2/26/2014,FALSE,22,1,4:22 PM,5785,87,392,165,94,0,85,89,4,107,568,4:23 PM,476
2/27/2014,TRUE,23,1,2:58 PM,3856,95,8,880,19,0,75,37,25,17,385,8:30 AM,641
2/28/2014,TRUE,24,21,3:25 AM,290,48,726,387,119,0,55,9,21,49,106,7:04 PM,649
3/1/2014,TRUE,25,3,8:31 AM,2695,61,56,1172,53,0,88,73,43,54,212,12:58 AM,348
3/2/2014,TRUE,26,89,4:17 PM,3324,105,467,530,57,0,54,42,85,22,245,9:40 AM,956
3/3/2014,TRUE,27,62,2:25 AM,1552,40,74,429,40,0,70,115,38,41,239,3:45 PM,835
3/4/2014,TRUE,28,15,7:52 AM,4271,2,422,22,111,0,96,10,68,104,697,10:00 AM,161
3/5/2014,FALSE,29,70,5:24 PM,6096,93,432,637,44,0,48,25,73,44,515,1:27 PM,869
3/6/2014,TRUE,30,95,9:32 PM,4161,6,729,219,68,0,72,89,45,85,1044,10:37 AM,393
3/7/2014,FALSE,31,57,12:17 PM,7804,97,837,61,104,0,58,58,106,31,425,1:33 AM,305
3/8/2014,TRUE,32,11,6:29 AM,5629,117,210,338,53,0,7,89,94,14,1,3:55 AM,1110
3/9/2014,FALSE,33,81,10:55 PM,8080,105,1038,619,17,0,46,59,117,76,328,1:34 AM,70
3/10/2014,TRUE,34,64,8:49 AM,7548,32,544,292,77,0,4,58,63,52,844,10:14 PM,158
3/11/2014,FALSE,35,85,4:15 PM,763,60,1158,748,110,0,111,78,117,17,124,8:36 AM,527
3/12/2014,FALSE,36,68,1:14 AM,1795,58,1156,257,31,0,64,105,83,107,973,1:50 AM,921
3/13/2014,FALSE,37,8,2:06 AM,1259,45,266,251,33,0,10,19,24,74,967,4:35 PM,469
3/14/2014,FALSE,38,95,2:12 PM,1694,81,1125,714,74,0,1,86,92,40,348,11:50 PM,634
3/15/2014,TRUE,39,90,10:41 PM,1042,45,45,1157,85,0,98,117,35,97,529,5:27 AM,427
3/16/2014,FALSE,40,65,11:19 AM,4331,54,679,6,111,0,107,73,61,4,987,6:23 AM,978
3/17/2014,FALSE,41,95,10:35 PM,9991,69,715,749,18,0,12,55,3,110,783,6:56 AM,146
3/18/2014,FALSE,42,46,9:49 PM,303,12,843,1035,79,0,34,113,103,56,814,2:23 AM,1116
3/19/2014,FALSE,43,30,12:57 AM,3702,47,334,945,98,0,107,62,22,84,882,3:42 AM,930
3/20/2014,TRUE,44,2,1:47 PM,3263,93,1115,1079,96,0,49,2,47,87,210,10:59 PM,453
3/21/2014,FALSE,45,85,10:08 AM,9020,63,287,344,118,0,75,117,64,58,649,5:36 PM,703
3/22/2014,FALSE,46,93,11:37 PM,5947,29,693,669,8,0,120,12,17,43,56,5:19 PM,168
3/23/2014,FALSE,47,19,11:13 AM,7087,89,1091,895,100,0,49,105,101,88,824,6:43 AM,1117
3/24/2014,FALSE,48,34,5:30 PM,2110,90,783,175,99,0,26,35,113,87,530,6:48 AM,980
3/25/2014,TRUE,49,40,1:14 PM,2006,3,732,42,27,0,21,31,36,84,1142,1:41 PM,56
3/26/2014,TRUE,50,82,7:32 PM,3058,29,831,1196,10,0,76,70,40,60,719,2:09 PM,1145
3/27/2014,FALSE,51,55,6:30 AM,3538,67,88,695,53,0,85,100,58,49,562,1:20 AM,1129
3/28/2014,FALSE,52,36,9:19 PM,3140,21,1117,906,80,0,107,79,95,65,520,11:40 PM,856
3/29/2014,TRUE,53,49,9:44 PM,2071,88,438,51,112,0,22,34,48,18,211,3:20 PM,720
3/30/2014,TRUE,54,21,5:41 PM,1091,4,741,585,45,0,15,9,120,11,829,1:06 PM,662
3/31/2014,FALSE,55,64,2:59 AM,6288,57,514,950,7,0,81,107,3,6,1033,11:21 AM,756
4/1/2014,FALSE,56,6,7:21 PM,4876,52,1178,283,28,0,113,10,60,21,859,6:31 AM,91
4/2/2014,TRUE,57,95,7:01 PM,4082,116,431,1102,50,0,31,90,31,97,873,3:40 AM,65
4/3/2014,FALSE,58,66,12:15 PM,9142,83,1057,524,9,0,66,56,74,111,1047,7:49 PM,1061
4/4/2014,FALSE,59,98,3:04 AM,6968,66,338,625,9,0,67,28,41,27,212,9:44 AM,264
4/5/2014,TRUE,60,34,6:57 AM,9741,73,81,919,11,0,13,98,107,54,540,12:00 AM,697
4/6/2014,FALSE,61,48,9:06 PM,2342,102,355,224,8,0,81,71,64,87,114,12:13 PM,209
4/7/2014,TRUE,62,35,7:31 AM,6729,116,1013,377,71,0,60,63,108,71,132,8:53 PM,48
4/8/2014,TRUE,63,28,8:36 PM,1917,102,313,1187,89,0,89,4,62,92,299,2:22 AM,100
4/9/2014,FALSE,64,86,2:32 PM,8694,99,574,26,107,0,5,43,20,80,994,8:42 AM,1098
4/10/2014,FALSE,65,13,1:23 PM,4615,5,662,1071,119,0,112,36,13,99,478,1:20 AM,316
4/11/2014,FALSE,66,72,8:13 PM,8279,28,383,773,54,0,37,73,34,48,412,7:40 PM,1072
4/12/2014,FALSE,67,96,1:24 AM,2015,60,365,1167,31,0,23,8,113,70,470,7:30 PM,787
4/13/2014,FALSE,68,82,8:10 AM,8912,104,554,374,118,0,112,78,100,75,1131,1:42 AM,272
4/14/2014,TRUE,69,90,3:42 AM,8282,42,718,1115,18,0,27,119,94,66,754,5:12 PM,763
4/15/2014,TRUE,70,61,10:20 PM,1291,54,603,437,78,0,24,0,18,13,522,12:50 AM,1197
4/16/2014,FALSE,71,77,1:06 PM,5238,21,996,3,110,0,75,15,60,15,312,6:20 PM,278
4/17/2014,TRUE,72,61,8:12 AM,9695,44,816,805,58,0,14,33,44,20,492,8:57 AM,956
4/18/2014,FALSE,73,53,5:49 AM,2695,41,446,314,31,0,112,28,74,46,97,5:14 AM,56
4/19/2014,FALSE,74,45,6:48 AM,4718,35,473,307,96,0,60,28,96,50,925,10:06 PM,767
4/20/2014,FALSE,75,8,9:34 PM,2429,90,663,428,44,0,49,22,39,4,131,7:16 AM,243
4/21/2014,FALSE,76,36,8:17 AM,532,21,1061,1022,115,0,14,117,86,115,582,4:57 AM,143
4/22/2014,FALSE,77,79,11:43 PM,472,108,190,779,68,0,10,56,10,73,19,1:51 AM,905
4/23/2014,TRUE,78,28,8:22 AM,3763,16,801,39,64,0,104,102,81,2,581,9:07 AM,470
4/24/2014,FALSE,79,47,9:27 AM,9317,118,313,1153,55,0,90,76,1,62,807,4:21 AM,255
4/25/2014,FALSE,80,44,3:36 AM,7854,61,257,754,21,0,22,82,107,46,1163,4:54 AM,124
4/26/2014,FALSE,81,59,5:53 AM,2313,100,833,770,88,0,33,70,47,24,1173,7:49 PM,325
4/27/2014,TRUE,82,56,3:28 PM,7713,3,21,563,78,0,24,35,32,97,1130,7:33 PM,142
4/28/2014,FALSE,83,61,5:45 AM,6999,9,729,460,46,0,51,84,112,87,586,12:32 AM,1020
